I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault,,,,
2.739,156.938,0,156.938,2.739,156.938,2.739,156.938,0,156.938,2.739,156.938,3 ,,,,
2.712,157.02,0,157.02,2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,3 ,,,,
8.077,97.7356,4.077,57.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,4 ,,,,
8.067,102.461,8.067,102.461,8.067,102.461,4.077,57.7356,4.077,57.7356,8.067,102.461,4 ,,,,
8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,4.077,57.7356,4 ,,,,
8.036,111.711,8.036,111.711,8.036,111.711,4.077,57.7356,8.036,111.711,8.036,111.711,4 ,,,,
8.007,116.115,8.007,116.115,4.077,57.7356,8.007,116.115,8.007,116.115,8.007,116.115,4 ,,,,
7.962,120.241,4.077,57.7356,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,4 ,,,,
4.077,57.7356,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,4 ,,,,
7.803,127.222,7.803,127.222,3.077,57.7356,7.803,127.222,7.803,127.222,7.803,127.222,4 ,,,,
5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,3.077,57.7356,5.647,146.511,4 ,,,,
5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,4 ,,,,
5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,4 ,,,,
5.329,147.907,5.329,147.907,2.329,57.907,5.329,147.907,5.329,147.907,5.329,147.907,4 ,,,,
5.231,148.321,2.329,57.907,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,4 ,,,,
2.329,57.907,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,4 ,,,,
5.04,149.08,2.329,57.907,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,4 ,,,,
4.954,149.437,4.954,149.437,4.954,149.437,2.329,57.907,4.954,149.437,4.954,149.437,4 ,,,,
4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,2.329,57.907,4 ,,,,
4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,1.784,50.094,4.784,150.094,4 ,,,,
4.704,150.339,4.704,150.339,1.784,50.094,4.704,150.339,4.704,150.339,4.704,150.339,4 ,,,,
4.625,150.691,4.625,150.691,4.625,150.691,1.784,50.094,4.625,150.691,4.625,150.691,4 ,,,,
4.081,152.637,1.784,50.094,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,4 ,,,,
1.784,50.094,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,4 ,,,,
1.964,63.038,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,4 ,,,,
3.906,153.228,1.964,63.038,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,4 ,,,,
3.853,153.411,3.853,153.411,3.853,153.411,1.964,63.038,3.853,153.411,3.853,153.411,4 ,,,,
3.8,153.588,3.8,153.588,1.964,63.038,3.8,153.588,3.8,153.588,3.8,153.588,4 ,,,,
3.748,153.76,3.748,153.76,3.748,153.76,3.748,153.76,1.964,63.038,3.748,153.76,4 ,,,,
3.698,153.926,3.698,153.926,3.698,153.926,1.964,63.038,3.698,153.926,3.698,153.926,4 ,,,,
3.649,154.087,3.649,154.087,3.649,154.087,3.649,154.087,3.649,154.087,1.964,63.038,4 ,,,,
3.601,154.243,3.601,154.243,3.601,154.243,3.601,154.243,1.964,63.038,3.601,154.243,4 ,,,,
3.555,154.394,3.555,154.394,3.555,154.394,1.964,63.038,3.555,154.394,3.555,154.394,4 ,,,,
3.509,154.541,3.509,154.541,1.964,63.038,3.509,154.541,3.509,154.541,3.509,154.541,4 ,,,,
3.465,154.683,3.465,154.683,1.964,63.038,3.465,154.683,3.465,154.683,3.465,154.683,4 ,,,,
3.422,154.821,3.422,154.821,1.964,63.038,3.422,154.821,3.422,154.821,3.422,154.821,4 ,,,,
1.964,63.038,3.38,154.966,3.38,154.966,3.38,154.966,3.38,154.966,3.38,154.966,4 ,,,,
1.964,63.038,3.339,155.086,1.964,63.038,3.339,155.086,3.339,155.086,3.339,155.086,4 ,,,,
1.964,63.038,3.299,155.213,1.964,63.038,3.299,155.213,3.299,155.213,3.299,155.213,4 ,,,,
3.26,155.336,3.26,155.336,1.964,63.038,3.26,155.336,1.964,63.038,3.26,155.336,4 ,,,,
3.221,155.546,3.221,155.546,3.221,155.546,3.221,155.546,1.964,63.038,3.221,155.546,4 ,,,,
3.184,155.573,3.184,155.573,3.184,155.573,3.184,155.573,1.964,63.038,3.184,155.573,4 ,,,,
3.14,155.687,3.14,155.687,1.964,63.038,3.14,155.687,3.14,155.687,3.14,155.687,4 ,,,,
